0,828	0,877	1,631	1,07	0,909	0,988	2,702	0,89	1,701	1,497	1,295
3,369	2,065	0,912	1,598	1,106	0,728	0,707	1,722	0,858	1,374	1,28
1,976	2,638	1,386	1,282	1,261	1,359	0,856	2,362	1,65	1,925	1,329
1,125	0,971	1,859	1,353	1,009	1,395	3,169	0,706	1,196	1,541	2,032
0,918	2,181	2,635	0,957	1,143	1,185	0,849	2,898	1,87	1,659	1,444
1,332	1,309	1,757	2,152	1,11	1,38	3,304	2,238	1,918	2,578	1,552
0,97	1,127	1,529	1,225	0,988	1,307	0,838	2,279	2,451	2,536	1,578
0,953	1,518	1,331	1,275	0,771	0,802	1,828	3,082	2,102	1,186	0,735
